alpha,Cl,Cd,Cm
-14.999999999999998,-0.8587037912080904,0.18262609806143676,0.0666298589944333
-14.500000000000002,-0.8302393584170326,0.17790710705189236,0.0666298589944333
-14.0,-0.8062561531335752,0.17318811604234793,0.0666298589944333
-13.5,-0.7862612074013786,0.16846912503280354,0.0666298589944333
-13.0,-0.7697615532641029,0.1637501340232591,0.0666298589944333
-12.5,-0.7562642227654081,0.15903114301371468,0.0666298589944333
-12.000000000000002,-0.745276247948954,0.1543121520041703,0.0666298589944333
-11.5,-0.7363046608584009,0.14959316099462588,0.0666298589944333
-11.0,-0.7288564935374084,0.14487416998508146,0.0666298589944333
-10.5,-0.7224387780296373,0.1401551789755371,0.0666298589944333
-10.0,-0.7165585463787473,0.13543618796599266,0.0666298589944333
-9.5,-0.7107228306283979,0.13071719695644823,0.0666298589944333
-9.0,-0.7044386628222501,0.12599820594690384,0.0666298589944333
-8.5,-0.697213075003963,0.12127921493735942,0.0666298589944333
-8.0,-0.6885530992171973,0.11656022392781502,0.0666298589944333
-7.499999999999999,-0.6779657675056128,0.11184123291827061,0.0666298589944333
-7.0,-0.6649581119128695,0.1071222419087262,0.0666298589944333
-6.5,-0.6490371644826275,0.10240325089918179,0.0666298589944333
-6.000000000000001,-0.6297099572585468,0.09768425988963739,0.0666298589944333
-5.5,-0.6064835222842875,0.09296526888009297,0.0666298589944333
-5.0,-0.5788648916035095,0.08824627787054856,0.0666298589944333
-4.5,-0.5463610972598729,0.08352728686100416,0.0666298589944333
-4.0,-0.508479171297038,0.07880829585145975,0.0666298589944333
-3.5,-0.46472614575866444,0.07408930484191534,0.0666298589944333
-3.0000000000000004,-0.4146090526884125,0.06937031383237094,0.0666298589944333
-2.5,-0.3576349241299421,0.06465132282282651,0.0666298589944333
-2.0,-0.29331079212691336,0.059932331813282114,0.0666298589944333
-1.5000000000000002,-0.2211436887229862,0.0552133408037377,0.0666298589944333
-1.0,-0.1331855431596258,0.0500910569967065,0.0482387098047527
-0.5,-0.0218169299825238,0.0441621875947017,0.0259140405977056
0.0,0.0841389994577299,0.0395607719147618,0.0064690527352725
0.5,0.186078189420299,0.0364496090207112,-0.0109121690163849
1.0,0.2969561760904909,0.0336480975414201,-0.0290401091067372
1.5000000000000002,0.40528919600693125,0.0312751761414952,-0.04409341999725231
2.0,0.4995934857082457,0.0294497834855434,-0.0522507541493981
2.5,0.5805866139919181,0.0279462085349653,-0.0554844269340103
3.0000000000000004,0.656877565160445,0.0264907539051998,-0.058309652486203
3.5,0.7288196990099702,0.0251303787419107,-0.060719431413861
4.0,0.7967663753366386,0.0239120421907616,-0.0627067643248694
4.5,0.8610709539365944,0.0228827033974163,-0.0642646518271131
5.0,0.9220867946059814,0.0220893215075383,-0.0653860945284772
5.5,0.9801672571409448,0.0215788556667915,-0.0660640930368466
6.000000000000001,1.0356657013376285,0.0213982650208396,-0.0662916479601065
6.5,1.0907625764896385,0.0215076565377429,-0.0657913536446313
7.0,1.146344218813281,0.0218298903324703,-0.0644723959038331
7.499999999999999,1.200822818488751,0.0223560552710475,-0.06260766254615302
8.0,1.252610565696244,0.0230772402195003,-0.0604700413800319
8.5,1.3001196506159538,0.0239845340438546,-0.0583324202139107
9.0,1.3417622634280757,0.0250690256101362,-0.0564676868562306
9.5,1.3759505943128036,0.0263218037843709,-0.0551487291154324
10.0,1.4010968334503338,0.0277339574325847,-0.0546484347999573
10.5,1.4210744977898837,0.0302886245242954,-0.4263223493369651
11.0,1.4389006590156994,0.034734092938444,-0.4316701977047098
11.5,1.4517028394105165,0.0407091764051906,-0.4355108518231549
12.000000000000002,1.4566085612570696,0.04785268865469543,-0.4369825683771209
12.5,1.42679012875102,0.0586893074996115,-0.428037038625306
13.0,1.35596538095394,0.0743444658648666,-0.406789614286182
13.5,1.2720801424474328,0.0923581101490324,-0.3816240427342298
14.0,1.2030802378131007,0.1102701867506809,-0.3609240713439302
14.500000000000002,1.1475531057212391,0.12863507475419406,-0.3442659317163717
