alpha,Cd,Cs,Cl,Cm
-10.0,0.1178787827507014,2.2656491307368418e-21,-0.2814872625103468,0.0602664033808302
-9.5,0.1142507070232501,2.1965336476654047e-21,-0.28390112905595594,0.06969545594086327
-9.0,0.1105121725280339,2.1307381956803045e-21,-0.2858340037437684,0.0772456566992661
-8.5,0.1066690702088321,2.068483790282197e-21,-0.28733933011353946,0.083125766967331
-8.0,0.1027272910094239,2.0099914469717408e-21,-0.28847055170502417,0.0875445480563502
-7.5,0.0986927258735886,1.9554821812495914e-21,-0.28928111205797774,0.0907107612776159
-7.0,0.0945712657451054,1.9051770086164073e-21,-0.28982445471215545,0.0928331679424204
-6.5,0.09036880156775359,1.8592969445728453e-21,-0.2901540232073125,0.0941205293620559
-6.0,0.08609122428531242,1.8180630046195626e-21,-0.29032326108320383,0.09478160684781467
-5.5,0.08174442484156118,1.781696204257216e-21,-0.29038561187958495,0.09502516171098896
-5.0,0.0773342941802791,1.7504175589864634e-21,-0.2903945191362108,0.095059955262871
-4.5,0.07253031447556321,1.7253526692401192e-21,-0.2745948358205378,0.09167533293159699
-4.0,0.06723758199264544,1.7056461348793126e-21,-0.23292329131324888,0.08279927138440048
-3.5,0.06181540881200741,1.6885474705471688e-21,-0.17397114377393924,0.0703484787912198
-3.0,0.05662310701413065,1.6713061908868147e-21,-0.10632965136220397,0.056239663321993275
-2.5,0.0520199886794968,1.6511718105413758e-21,-0.038590072237638245,0.04238953314665919
-2.0,0.0483653658885874,1.625393844153978e-21,0.0206563354401628,0.0307147964351559
-1.5,0.04564205380660055,1.5902813989344427e-21,0.07051290167625157,0.02115302528836045
-1.0,0.04339111841317892,1.5457961004140792e-21,0.11893654310024311,0.012046297952771883
-0.5,0.04130924801047106,1.494666240718247e-21,0.17061638148938632,0.002918081816761451
0.0,0.0390931309006255,1.4396201119723053e-21,0.2302415386209301,-0.0067081557312996
0.5,0.03646242341759998,1.3736742329749775e-21,0.3060714613441239,-0.018083962671442286
1.0,0.03364407781267026,1.296255999956878e-21,0.3960097443919017,-0.030615717640289385
1.5,0.0310957262639619,1.2197100211912017e-21,0.48921173136703855,-0.042012199234357256
2.0,0.0292750009496005,1.1563809049511437e-21,0.5748327658723098,-0.0499821860501623
2.5,0.02799358779207589,1.1029276034293937e-21,0.6532385000149079,-0.05535670444683398
3.0,0.02677938205997305,1.0491774469244461e-21,0.7313391037008331,-0.060412504674519786
3.5,0.02566432995056026,9.972276108682038e-22,0.8081066972310716,-0.0650269511662631
4.0,0.02468037766110577,9.491752706925688e-22,0.8825134009066102,-0.0690774083551073
4.5,0.02385947138887788,9.07117601829444e-22,0.9535313350284356,-0.07244124067409578
5.0,0.03485033599671727,8.731517797107315e-22,1.0201326198975342,-0.07499581255627194
5.5,0.03425187252776245,8.49374979768334e-22,1.0812893758148927,-0.07661848843467914
6.0,0.03404173597235475,8.378843774341533e-22,1.1359737230814977,-0.0771866327423608
6.5,0.03433980541798737,8.340534714671192e-22,1.1884225553498546,-0.07701635802388944
7.0,0.03521543499297085,8.315462014942222e-22,1.2420111644833516,-0.07656745194791952
7.5,0.03664075655443368,8.298954042494568e-22,1.2944192680992985,-0.07593279163361719
8.0,0.03858790195950434,8.286339164668178e-22,1.343326583815005,-0.07520525420014865
8.5,0.04102900306531131,8.272945748802999e-22,1.3864128292477818,-0.07447771676668014
9.0,0.04393619172898306,8.254102162238973e-22,1.4213577220149376,-0.07384305645237779
9.5,0.04728159980764807,8.225136772316053e-22,1.4458409797337837,-0.07339415037640787
10.0,0.0510373591584348,8.181377946374179e-22,1.457542320021629,-0.0732238756579365
10.5,0.07699716367678566,7.9275456763298815e-22,1.4617528877090993,-0.0761492207035371
11.0,0.09227078921751512,7.36526555847222e-22,1.4651180962766512,-0.08335533826277453
11.5,0.112324627973164,6.635224366699932e-22,1.4673490663163409,-0.09248735196930236
12.0,0.1356126190834614,5.878108874911768e-22,1.4681569184202248,-0.1011903854567741
12.5,0.1700216561900047,4.88558573628286e-22,1.4148850304856802,-0.1096983604071703
13.0,0.217601752613948,3.630471561533669e-22,1.2944012590266691,-0.11903372670223478
13.5,0.2680515270143557,2.5251780608809346e-22,1.1657034425601276,-0.12802440027526601
14.0,0.311069598050292,1.9821169445413952e-22,1.0877894196029902,-0.1354982970595625
14.5,0.3455936707906386,1.8790460289143836e-22,1.0569838027259335,-0.14165399810879278
15.0,0.3773781024000948,1.8095736859783313e-22,1.0318776476630602,-0.14725849486453269
15.5,0.4063464896814523,1.759887459318623e-22,1.0148684576764448,-0.1519923188419416
16.0,0.4324224294375022,1.7161748925206445e-22,1.0083537360281625,-0.1555360015561789
16.5,0.4552395801807038,1.6790154963201164e-22,1.0079422100423099,-0.15798562518215736
17.0,0.4755616518814779,1.650950477212625e-22,1.0076456685160524,-0.15988748491130844
17.5,0.4950073185295585,1.6211099224233512e-22,1.0074662069210676,-0.1615974317835694
18.0,0.5151952541146798,1.5786239191774787e-22,1.0074059207290331,-0.1634713168388777
18.5,0.536655697414209,1.4801805456464647e-22,1.0092813251643826,-0.16571087042326044
19.0,0.5584978926849293,1.3317667651304118e-22,1.0136400584679663,-0.16809358626431037
19.5,0.5802090221356974,1.1964609925474702e-22,1.018580900636086,-0.17033896047431304
20.0,0.6012762679753704,1.13734164281579e-22,1.0222026316650434,-0.1721664891655542
20.5,0.6215435552023829,1.176326755223857e-22,1.0241371724581798,-0.17352205362778814
21.0,0.6413173775777132,1.2620940025216032e-22,1.02559927227967,-0.17464775348873388
21.5,0.6607787704540342,1.3478612498193501e-22,1.0270619536670669,-0.1757074123676239
22.0,0.680108769184018,1.3868463622274168e-22,1.0289982391579235,-0.1768648538836907
22.5,0.6993425783214242,1.3680397007987672e-22,1.0317442024037942,-0.1781520924765998
23.0,0.7183928823685408,1.3127879406820628e-22,1.0352270281298783,-0.17949021392963385
23.5,0.7372569366008326,1.2228434181311712e-22,1.0393064054841965,-0.18087664887745095
24.0,0.7559319962937648,1.099958469399959e-22,1.0438420236147694,-0.1823088279547092
24.5,0.7744153167228026,9.458854307422935e-23,1.0486935716696177,-0.18378418179606673
