alpha,Cd,Cs,Cl,Cm
-10.0,0.0940982450065733,-6.6387574576228175e-22,-0.2305337232124537,0.0463326586318861
-9.5,0.08583444242247172,-6.254029935251643e-22,-0.18504587991858884,0.04112268748001128
-9.0,0.0781658310151874,-5.915254158650829e-22,-0.14674316517662694,0.03695086556135136
-8.5,0.07115710879474521,-5.621145481643996e-22,-0.11506101176468665,0.033701842961104705
-8.0,0.06487297377117009,-5.370419258054769e-22,-0.08943485246088663,0.031260269764469634
-7.5,0.0593781239544869,-5.161790841706766e-22,-0.0693001200433456,0.029510796056644514
-7.0,0.05473725735472057,-4.993975586423611e-22,-0.05409224729018225,0.028338071922827668
-6.5,0.051015071981896004,-4.865688846028927e-22,-0.043246666979515215,0.027626747448217442
-6.0,0.048276265846038106,-4.775645974346335e-22,-0.0361988118894633,0.027261472718012204
-5.5,0.04658553695717176,-4.722562325199457e-22,-0.032384114798145125,0.02712689781741027
-5.0,0.0460075833253219,-4.7051532524119145e-22,-0.0312380084836793,0.02710767283161
-4.5,0.04652320974023049,-4.771941467382019e-22,-0.04324372795059549,0.0292075390704142
-4.0,0.047812275777501974,-4.938912004807278e-22,-0.07325802661788595,0.034457204667424704
-3.5,0.0494880616259549,-5.155973703460114e-22,-0.11227661488536356,0.041281769943538354
-3.0,0.051163847474407824,-5.373035402112951e-22,-0.15129520315284117,0.048106335219652
-2.5,0.05245291351167931,-5.54000593953821e-22,-0.1813095018201316,0.0533560008166625
-2.0,0.0529685399265879,-5.6067941545083135e-22,-0.1933152212870478,0.0554558670554667
-1.5,0.05220922996446081,-5.463094868753852e-22,-0.17412976860746718,0.05138234162826029
-1.0,0.05016728083794146,-5.070907610326474e-22,-0.12201190491091589,0.04062039578401084
-0.5,0.04719666368682268,-4.488598277480185e-22,-0.045119371710679854,0.025357975178773022
0.0,0.04365134965089734,-3.7745327684689967e-22,0.04839008947995503,0.007783025468601497
0.5,0.039885309869958294,-2.9870769815469145e-22,0.15035873714770287,-0.009916507690449064
1.0,0.03625251548379838,-2.184596814967948e-22,0.2526288297792776,-0.025552678642323995
1.5,0.03310693763221047,-1.4254581669861038e-22,0.34704262586139345,-0.03693754173096861
2.0,0.0308025474549874,-7.680269358553908e-23,0.4254423838807646,-0.0418831513003283
2.5,0.029005165253380084,-1.7087007982122277e-23,0.4921926945745473,-0.0428248427362347
3.0,0.027196244792051866,4.394280699451205e-23,0.5570869297644646,-0.043653921654866173
3.5,0.025453207405914297,1.052475555800831e-22,0.6201105195640809,-0.044366397745688
4.0,0.023853474429878906,1.657880420103101e-22,0.6812488940869604,-0.044958280698165494
4.5,0.022474467198857224,2.2452507052091233e-22,0.7404874834466673,-0.04542558020176396
5.0,0.021393607047760787,2.8041944534760876e-22,0.7978117177567657,-0.04576430594594867
5.5,0.020688315311501136,3.3243197072611887e-22,0.8532070271308199,-0.04597046762018495
6.0,0.0204360133249898,3.7952345089216177e-22,0.906658841682394,-0.0460400749139381
6.5,0.020589580026134775,4.2340558918515234e-22,0.9592205604982088,-0.045773916346468206
7.0,0.02103836003310536,4.661347323628927e-22,1.0114816395935013,-0.04507222557768394
7.5,0.021764473201205028,5.071886497886821e-22,1.0627315944746099,-0.04408018000802343
8.0,0.02275003938573726,5.460451108258204e-22,1.1122599406478724,-0.0429429570379248
8.5,0.023977178442005538,5.821818848376072e-22,1.1593561936196268,-0.041805734067826165
9.0,0.025428010225313335,6.150767411873423e-22,1.203309868896212,-0.040813688498165655
9.5,0.02708465459096413,6.442074492383251e-22,1.2434104819839655,-0.04011199772938139
10.0,0.0289292313942614,6.690517783538552e-22,1.2789475483892263,-0.0398458391619115
10.5,0.0316783836333147,6.925365918586435e-22,1.3142656963029624,-0.041065755912463246
11.0,0.03620192208212361,7.14917999969603e-22,1.3490416173438842,-0.04442700889897218
11.5,0.04271171825982673,7.316676423883365e-22,1.375562922159941,-0.04948185222371885
12.0,0.0514196436855626,7.38257158816447e-22,1.386117221399082,-0.0557825399889838
12.5,0.08235704267055245,6.766959086551908e-22,1.3188986840828263,-0.07372130597546064
13.0,0.13757842238122545,5.4126115830042735e-22,1.1568330033431473,-0.10437992138687346
13.5,0.19033039861953216,4.0582640794566387e-22,0.9593050759936772,-0.13334494646004852
14.0,0.2138595871874232,3.4426515778440774e-22,0.7856997988480475,-0.1462029414318122
14.5,0.2052704662329156,4.9756537554412555e-22,0.6218757877044521,-0.14407290172440926
15.0,0.18637440013299889,8.348258546155047e-22,0.445866645559457,-0.13938681436812278
15.5,0.16747833403308213,1.172086333686884e-21,0.3053197500242533,-0.13470072701183633
16.0,0.1588892130785745,1.3253865514466016e-21,0.2478824787100319,-0.1325706873044334
16.5,0.19301557623710724,1.2666307893040179e-21,0.3662405024082153,-0.14187864629670435
17.0,0.2842344057938947,1.0894310210721565e-21,0.690498413070199,-0.16672763487013192
17.5,0.41580531187072056,7.923885240448519e-22,1.174431970047134,-0.202505320419638
18.0,0.5709879045893688,3.741045755159386e-22,1.7718169326901698,-0.2445993703401445
18.5,0.7330417940716232,-1.6681954722074887e-22,2.436429060350458,-0.28839745202657335
19.0,0.8852265904392671,-8.317825668713759e-22,3.1220441123791494,-0.3292872328738464
19.5,1.0108019038140852,-1.6221832061421082e-21,3.7824378481273926,-0.36265638027688585
20.0,1.0930273443178606,-2.539420187739111e-21,4.37138602694634,-0.38389256163061325
20.5,1.1151625220723775,-3.58489223436855e-21,4.842664408187141,-0.38838344432995064
21.0,1.1815680553359282,-3.58489223436855e-21,4.842664408187141,-0.39287432702928804
21.5,1.247973588599479,-3.58489223436855e-21,4.842664408187141,-0.39736520972862543
22.0,1.3143791218630296,-3.58489223436855e-21,4.842664408187141,-0.40185609242796283
22.5,1.3807846551265803,-3.58489223436855e-21,4.842664408187141,-0.4063469751273002
23.0,1.447190188390131,-3.58489223436855e-21,4.842664408187141,-0.4108378578266376
23.5,1.5135957216536817,-3.58489223436855e-21,4.842664408187141,-0.415328740525975
24.0,1.5800012549172324,-3.58489223436855e-21,4.842664408187141,-0.4198196232253124
24.5,1.6464067881807831,-3.58489223436855e-21,4.842664408187141,-0.4243105059246498
25.0,1.7128123214443338,-3.58489223436855e-21,4.842664408187141,-0.4288013886239872
25.5,1.7792178547078845,-3.58489223436855e-21,4.842664408187141,-0.4332922713233246
26.0,1.8456233879714352,-3.58489223436855e-21,4.842664408187141,-0.437783154022662
26.5,1.912028921234986,-3.58489223436855e-21,4.842664408187141,-0.4422740367219994
27.0,1.9784344544985366,-3.58489223436855e-21,4.842664408187141,-0.4467649194213368
27.5,2.0448399877620873,-3.58489223436855e-21,4.842664408187141,-0.4512558021206742
28.0,2.111245521025638,-3.58489223436855e-21,4.842664408187141,-0.45574668482001157
28.5,2.1776510542891887,-3.58489223436855e-21,4.842664408187141,-0.46023756751934897
29.0,2.2440565875527394,-3.58489223436855e-21,4.842664408187141,-0.46472845021868636
29.5,2.31046212081629,-3.58489223436855e-21,4.842664408187141,-0.46921933291802376
30.0,2.376867654079841,-3.58489223436855e-21,4.842664408187141,-0.47371021561736115
30.5,2.4432731873433915,-3.58489223436855e-21,4.842664408187141,-0.47820109831669855
31.0,2.509678720606942,-3.58489223436855e-21,4.842664408187141,-0.48269198101603594
31.5,2.576084253870493,-3.58489223436855e-21,4.842664408187141,-0.48718286371537334
32.0,2.6424897871340436,-3.58489223436855e-21,4.842664408187141,-0.49167374641471073
32.5,2.7088953203975943,-3.58489223436855e-21,4.842664408187141,-0.49616462911404813
33.0,2.775300853661145,-3.58489223436855e-21,4.842664408187141,-0.5006555118133855
33.5,2.8417063869246957,-3.58489223436855e-21,4.842664408187141,-0.5051463945127229
34.0,2.9081119201882464,-3.58489223436855e-21,4.842664408187141,-0.5096372772120603
34.5,2.974517453451797,-3.58489223436855e-21,4.842664408187141,-0.5141281599113977
35.0,3.0409229867153478,-3.58489223436855e-21,4.842664408187141,-0.5186190426107351
35.5,3.1073285199788985,-3.58489223436855e-21,4.842664408187141,-0.5231099253100725
36.0,3.173734053242449,-3.58489223436855e-21,4.842664408187141,-0.5276008080094099
36.5,3.240139586506,-3.58489223436855e-21,4.842664408187141,-0.5320916907087473
37.0,3.3065451197695506,-3.58489223436855e-21,4.842664408187141,-0.5365825734080847
37.5,3.3729506530331013,-3.58489223436855e-21,4.842664408187141,-0.5410734561074221
38.0,3.439356186296652,-3.58489223436855e-21,4.842664408187141,-0.5455643388067595
38.5,3.5057617195602027,-3.58489223436855e-21,4.842664408187141,-0.5500552215060969
39.0,3.5721672528237534,-3.58489223436855e-21,4.842664408187141,-0.5545461042054343
39.5,3.638572786087304,-3.58489223436855e-21,4.842664408187141,-0.5590369869047717
40.0,3.7049783193508548,-3.58489223436855e-21,4.842664408187141,-0.563527869604109
