alpha,Cd,Cs,Cl,Cm
-10.0,0.1145642577313759,-1.0186945209532765e-21,-0.2989604670437933,0.0581854929136097
-9.5,0.10213118374487679,-9.918217508383414e-22,-0.2245458665019229,0.04834194198419301
-9.0,0.09069093549953688,-9.703037024437254e-22,-0.16227392109948904,0.04045983662742761
-8.5,0.08031792364276491,-9.535454066893931e-22,-0.1111295740608856,0.03432123844635226
-8.0,0.07108655882196964,-9.409518944953092e-22,-0.07009776861050662,0.029708209044005684
-7.5,0.06307125168455985,-9.319281967814382e-22,-0.03816344797274604,0.02640281002342664
-7.0,0.05634641287794432,-9.258793444677441e-22,-0.014311555371997943,0.024187102987653884
-6.5,0.05098645304953179,-9.22210368474192e-22,0.002472965967343796,0.022843149539726142
-6.0,0.04706578284673103,-9.203262997207466e-22,0.013205172820885264,0.022153011282682163
-5.5,0.044658812916950806,-9.196321691273718e-22,0.018900121964232422,0.0218987498195607
-5.0,0.0438399539075999,-9.195330076140325e-22,0.0205728701729912,0.0218624267534005
-4.5,0.044844031373611516,-9.393769441147479e-22,2.1678654842578835e-5,0.025744786757205426
-4.0,0.04735422503864055,-9.889867853665366e-22,-0.051356300140528985,0.03545068676671775
-3.5,0.0506174768031783,-1.0534795789938619e-21,-0.11814767257451199,0.04806835677908375
-3.0,0.05388072856771605,-1.1179723726211871e-21,-0.18493904500849503,0.06068602679144976
-2.5,0.0563909222327451,-1.1675822138729757e-21,-0.23631702380386654,0.07039192680096207
-2.0,0.0573949996987567,-1.1874261503736912e-21,-0.2568682153220152,0.074274286804767
-1.5,0.05521334080373774,-1.169308304710011e-21,-0.2211436887229862,0.06662985899443337
-1.0,0.05009105699670657,-1.12392710877403e-21,-0.1331855431596258,0.04823870980475276
-0.5,0.04416218759470174,-1.0647410741483368e-21,-0.021816929982523853,0.025914040597705655
0.0,0.0395607719147618,-1.005208712415521e-21,0.0841389994577299,0.0064690527352725
0.5,0.03644960902071129,-9.405541181303599e-22,0.186078189420299,-0.010912169016384967
1.0,0.03364809754142019,-8.646525121416996e-22,0.2969561760904909,-0.029040109106737266
1.5,0.031275176141495296,-7.889390954732324e-22,0.4052891960069312,-0.04409341999725234
2.0,0.0294497834855434,-7.248490691486498e-22,0.4995934857082457,-0.0522507541493981
2.5,0.027946208534965336,-6.721555386453743e-22,0.5805866139919181,-0.055484426934010386
3.0,0.026490753905199893,-6.228427445770576e-22,0.6568775651604449,-0.05830965248620302
3.5,0.025130378741910778,-5.766625906717334e-22,0.7288196990099702,-0.060719431413861026
4.0,0.02391204219076169,-5.333669806574363e-22,0.7967663753366386,-0.06270676432486941
4.5,0.022882703397416326,-4.927078182622007e-22,0.8610709539365944,-0.06426465182711312
5.0,0.022089321507538392,-4.544370072140609e-22,0.9220867946059814,-0.06538609452847724
5.5,0.02157885566679158,-4.1830645124105116e-22,0.9801672571409449,-0.06606409303684668
6.0,0.0213982650208396,-3.840680540712058e-22,1.0356657013376285,-0.0662916479601065
6.5,0.021507656537742982,-3.5268318986602144e-22,1.0907625764896383,-0.06579135364463135
7.0,0.02182989033247034,-3.245656758687173e-22,1.146344218813281,-0.06447239590383319
7.5,0.022356055271047514,-2.9864608042991245e-22,1.2008228184887513,-0.06260766254615303
8.0,0.023077240219500333,-2.7385497190022535e-22,1.252610565696244,-0.060470041380031904
8.5,0.02398453404385463,-2.491229186302747e-22,1.3001196506159538,-0.05833242021391075
9.0,0.025069025610136235,-2.2338048897067936e-22,1.3417622634280755,-0.05646768685623061
9.5,0.026321803784370983,-1.955582512720579e-22,1.3759505943128036,-0.05514872911543246
10.0,0.0277339574325847,-1.645867738850292e-22,1.4010968334503338,-0.0546484347999573
10.5,0.03028862452429541,-1.2282620295319593e-22,1.4210744977898837,-0.055377010053799657
11.0,0.034734092938444,-7.30801341953451e-23,1.4389006590156994,-0.05733382081640998
11.5,0.04070917640519061,-2.994431032487165e-23,1.4517028394105165,-0.060175494589413195
12.0,0.0478526886546954,-8.014474055170505e-24,1.4566085612570696,-0.0635586588744342
12.5,0.05868930749961152,-2.178919681369906e-24,1.42679012875102,-0.0692861741708663
13.0,0.0743444658648666,2.2592265733530785e-24,1.35596538095394,-0.07816276120376277
13.5,0.09235811014903243,5.081974103530227e-24,1.2720801424474328,-0.0883478378132383
14.0,0.1102701867506809,6.071332303693328e-24,1.2030802378131007,-0.0980008218394076
14.5,0.128635074754194,-2.26723761795455e-23,1.1475531057212394,-0.10749406920948687
15.0,0.14845849428729055,-8.80911454537924e-23,1.0924390297840534,-0.11752359119473167
15.5,0.16795740331354728,-1.5896644125584297e-22,1.0482131019960097,-0.1267342886513159
16.0,0.185348759796541,-2.0407972932249281e-22,1.0253504143515757,-0.1337710624354134
16.5,0.2002117464095192,-2.235815983746027e-22,1.0182639159587872,-0.1387289037920892
17.0,0.21375924606817004,-2.3885000982024793e-22,1.0135372691731261,-0.14281694563883054
17.5,0.22665876709973146,-2.505074884270461e-22,1.0099016358602306,-0.14635130134044488
18.0,0.2395778178314414,-2.591765589626148e-22,1.006088177885738,-0.1496480842617396
18.5,0.25271103171975595,-2.6648067949459323e-22,1.0016739551713492,-0.15285667035667172
19.0,0.26570472850492943,-2.729526574823713e-22,0.9973336776694284,-0.15585414518583077
19.5,0.2784039459398967,-2.775790417811927e-22,0.9934449822916097,-0.15854818652397254
20.0,0.2906537217775926,-2.7934638124630123e-22,0.9903855059495263,-0.1608464721458529
20.5,0.30443322764906655,-2.7867561021000565e-22,0.9884932505887578,-0.1630366435914313
21.0,0.3457717452634885,-2.7867561021000565e-22,0.9884932505887578,-0.1652268150370097
21.5,0.3871102628779104,-2.7867561021000565e-22,0.9884932505887578,-0.1674169864825881
22.0,0.4284487804923323,-2.7867561021000565e-22,0.9884932505887578,-0.1696071579281665
22.5,0.46978729810675424,-2.7867561021000565e-22,0.9884932505887578,-0.1717973293737449
23.0,0.5111258157211762,-2.7867561021000565e-22,0.9884932505887578,-0.1739875008193233
23.5,0.5524643333355981,-2.7867561021000565e-22,0.9884932505887578,-0.1761776722649017
24.0,0.59380285095002,-2.7867561021000565e-22,0.9884932505887578,-0.1783678437104801
24.5,0.6351413685644419,-2.7867561021000565e-22,0.9884932505887578,-0.1805580151560585
25.0,0.6764798861788639,-2.7867561021000565e-22,0.9884932505887578,-0.18274818660163689
25.5,0.7178184037932858,-2.7867561021000565e-22,0.9884932505887578,-0.18493835804721528
26.0,0.7591569214077076,-2.7867561021000565e-22,0.9884932505887578,-0.18712852949279368
26.5,0.8004954390221296,-2.7867561021000565e-22,0.9884932505887578,-0.18931870093837208
27.0,0.8418339566365515,-2.7867561021000565e-22,0.9884932505887578,-0.19150887238395048
27.5,0.8831724742509734,-2.7867561021000565e-22,0.9884932505887578,-0.19369904382952888
28.0,0.9245109918653954,-2.7867561021000565e-22,0.9884932505887578,-0.19588921527510728
28.5,0.9658495094798173,-2.7867561021000565e-22,0.9884932505887578,-0.19807938672068567
29.0,1.007188027094239,-2.7867561021000565e-22,0.9884932505887578,-0.20026955816626407
29.5,1.0485265447086611,-2.7867561021000565e-22,0.9884932505887578,-0.20245972961184247
30.0,1.0898650623230832,-2.7867561021000565e-22,0.9884932505887578,-0.20464990105742087
30.5,1.1312035799375049,-2.7867561021000565e-22,0.9884932505887578,-0.20684007250299927
